STATE,COUNTY,METRO_NAME,POPESTIMATE2019,METRO_POPULATION,PERCENT_METRO_POPULATION
Alabama,Autauga,Montgomery,55869,363564,0.154
Alabama,Baldwin,Mobile,223234,636444,0.351
Alabama,Barbour,Rural,24686,,
Alabama,Bibb,Rural,22394,,
Alabama,Blount,Birmingham,57826,1023613,0.057
Alabama,Bullock,Rural,10101,,
Alabama,Butler,Rural,19448,,
Alabama,Calhoun,Anniston,113605,113605,1.000
Alabama,Chambers,Rural,33254,,
Alabama,Cherokee,Rural,26196,,
Alabama,Chilton,Rural,44428,,
Alabama,Choctaw,Rural,12589,,
Alabama,Clarke,Rural,23622,,
Alabama,Clay,Rural,13235,,
Alabama,Cleburne,Rural,14910,,
Alabama,Coffee,Rural,52342,,
Alabama,Colbert,Rural,55241,,
Alabama,Conecuh,Rural,12067,,
Alabama,Coosa,Rural,10663,,
Alabama,Covington,Rural,37049,,
Alabama,Crenshaw,Rural,13772,,
Alabama,Cullman,Rural,83768,,
Alabama,Dale,Rural,49172,,
Alabama,Dallas,Rural,37196,,
Alabama,DeKalb,Rural,71513,,
Alabama,Elmore,Montgomery,81209,363564,0.223
Alabama,Escambia,Rural,36633,,
Alabama,Etowah,Gadsden,102268,102268,1.000
Alabama,Fayette,Rural,16302,,
Alabama,Franklin,Rural,31362,,
Alabama,Geneva,Rural,26271,,
Alabama,Greene,Rural,8111,,
Alabama,Hale,Rural,14651,,
Alabama,Henry,Rural,17205,,
Alabama,Houston,Dothan,105882,105882,1.000
Alabama,Jackson,Rural,51626,,
Alabama,Jefferson,Birmingham,658573,1023613,0.643
Alabama,Lamar,Rural,13805,,
Alabama,Lauderdale,Rural,92729,,
Alabama,Lawrence,Rural,32924,,
Alabama,Lee,Auburn-Opelika,164542,164542,1.000
Alabama,Limestone,Huntsville,98915,471824,0.210
Alabama,Lowndes,Rural,9726,,
Alabama,Macon,Rural,18068,,
Alabama,Madison,Huntsville,372909,471824,0.790
Alabama,Marengo,Rural,18863,,
Alabama,Marion,Rural,29709,,
Alabama,Marshall,Rural,96774,,
Alabama,Mobile,Mobile,413210,636444,0.649
Alabama,Monroe,Rural,20733,,
Alabama,Montgomery,Montgomery,226486,363564,0.623
Alabama,Morgan,Rural,119679,,
Alabama,Perry,Rural,8923,,
Alabama,Pickens,Rural,19930,,
Alabama,Pike,Rural,33114,,
Alabama,Randolph,Rural,22722,,
Alabama,Russell,Columbus/GA,57961,253730,0.228
Alabama,Shelby,Birmingham,217702,1023613,0.213
Alabama,St. Clair,Birmingham,89512,1023613,0.087
Alabama,Sumter,Rural,12427,,
Alabama,Talladega,Rural,79978,,
Alabama,Tallapoosa,Rural,40367,,
Alabama,Tuscaloosa,Tuscaloosa,209355,209355,1.000
Alabama,Walker,Rural,63521,,
Alabama,Washington,Rural,16326,,
Alabama,Wilcox,Rural,10373,,
Alabama,Winston,Rural,23629,,
Alaska,Aleutians East Borough,Rural,3337,,
Alaska,Aleutians West Census Area,Rural,5634,,
Alaska,Anchorage,Anchorage,288000,288000,1.000
Alaska,Bethel Census Area,Rural,18386,,
Alaska,Bristol Bay Borough,Rural,836,,
Alaska,Denali Borough,Rural,2097,,
Alaska,Dillingham Census Area,Rural,4916,,
Alaska,Fairbanks North Star Borough,Rural,96849,,
Alaska,Haines Borough,Rural,2530,,
Alaska,Hoonah-Angoon Census Area,Rural,2148,,
Alaska,Juneau City and Borough,Rural,31974,,
Alaska,Kenai Peninsula Borough,Rural,58708,,
Alaska,Ketchikan Gateway Borough,Rural,13901,,
Alaska,Kodiak Island Borough,Rural,12998,,
Alaska,Kusilvak Census Area,Rural,8314,,
Alaska,Lake and Peninsula Borough,Rural,1592,,
Alaska,Matanuska-Susitna Borough,Rural,108317,,
Alaska,Nome Census Area,Rural,10004,,
Alaska,North Slope Borough,Rural,9832,,
Alaska,Northwest Arctic Borough,Rural,7621,,
Alaska,Petersburg Borough,Rural,3266,,
Alaska,Prince of Wales-Hyder Census Area,Rural,6203,,
Alaska,Sitka City and Borough,Rural,8493,,
Alaska,Skagway Municipality,Rural,1183,,
Alaska,Southeast Fairbanks Census Area,Rural,6893,,
Alaska,Valdez-Cordova Census Area,Rural,9202,,
Alaska,Wrangell City and Borough,Rural,2502,,
Alaska,Yakutat City and Borough,Rural,579,,
Alaska,Yukon-Koyukuk Census Area,Rural,5230,,
Arizona,Apache,Rural,71887,,
Arizona,Cochise,Rural,125922,,
Arizona,Coconino,Flagstaff,143476,143476,1.000
Arizona,Gila,Rural,54018,,
Arizona,Graham,Rural,38837,,
Arizona,Greenlee,Rural,9498,,
Arizona,La Paz,Rural,21108,,
Arizona,Maricopa,Phoenix-Mesa,4485414,5183302,0.865
Arizona,Mohave,Las Vegas,212181,2478896,0.086
Arizona,Navajo,Rural,110924,,
Arizona,Pima,Tucson,1047279,1047279,1.000
Arizona,Pinal,Phoenix-Mesa,462789,5183302,0.089
Arizona,Santa Cruz,Rural,46498,,
Arizona,Yavapai,Phoenix-Mesa,235099,5183302,0.045
Arizona,Yuma,Yuma,213787,213787,1.000
Arkansas,Ashley,Rural,19657,,
Arkansas,Baxter,Rural,41932,,
Arkansas,Benton,Fayetteville-Springdale,279141,518328,0.539
Arkansas,Boone,Rural,37432,,
Arkansas,Bradley,Rural,10763,,
Arkansas,Calhoun,Rural,5189,,
Arkansas,Carroll,Rural,28380,,
Arkansas,Chicot,Rural,10118,,
Arkansas,Clark,Rural,22320,,
Arkansas,Clay,Rural,14551,,
Arkansas,Cleburne,Rural,24919,,
Arkansas,Cleveland,Rural,7956,,
Arkansas,Columbia,Rural,23457,,
Arkansas,Conway,Rural,20846,,
Arkansas,Craighead,Jonesboro,110332,110332,1.000
Arkansas,Crawford,Fort Smith,63257,191084,0.331
Arkansas,Crittenden,Rural,47955,,
Arkansas,Cross,Rural,16419,,
Arkansas,Dallas,Rural,7009,,
Arkansas,Desha,Rural,11361,,
Arkansas,Drew,Rural,18219,,
Arkansas,Faulkner,Little Rock-North Little Rock,126007,640355,0.197
Arkansas,Franklin,Rural,17715,,
Arkansas,Fulton,Rural,12477,,
Arkansas,Garland,Rural,99386,,
Arkansas,Grant,Rural,18265,,
Arkansas,Greene,Rural,45325,,
Arkansas,Hempstead,Rural,21532,,
Arkansas,Hot Spring,Rural,33771,,
Arkansas,Howard,Rural,13202,,
Arkansas,Independence,Rural,37825,,
Arkansas,Izard,Rural,13629,,
Arkansas,Jackson,Rural,16719,,
Arkansas,Jefferson,Pine Bluff,66824,66824,1.000
Arkansas,Johnson,Rural,26578,,
Arkansas,Lafayette,Rural,6624,,
Arkansas,Lawrence,Rural,16406,,
Arkansas,Lee,Rural,8857,,
Arkansas,Lincoln,Rural,13024,,
Arkansas,Little River,Rural,12259,,
Arkansas,Logan,Rural,21466,,
Arkansas,Lonoke,Rural,73309,,
Arkansas,Madison,Rural,16576,,
Arkansas,Marion,Rural,16694,,
Arkansas,Miller,Rural,43257,,
Arkansas,Mississippi,Rural,40651,,
Arkansas,Monroe,Rural,6701,,
Arkansas,Montgomery,Rural,8986,,
Arkansas,Nevada,Rural,8252,,
Arkansas,Newton,Rural,7753,,
Arkansas,Ouachita,Rural,23382,,
Arkansas,Perry,Rural,10455,,
Arkansas,Phillips,Rural,17782,,
Arkansas,Pike,Rural,10718,,
Arkansas,Poinsett,Rural,23528,,
Arkansas,Polk,Rural,19964,,
Arkansas,Pope,Rural,64072,,
Arkansas,Prairie,Rural,8062,,
Arkansas,Pulaski,Little Rock-North Little Rock,391911,640355,0.612
Arkansas,Randolph,Rural,17958,,
Arkansas,Saline,Little Rock-North Little Rock,122437,640355,0.191
Arkansas,Scott,Rural,10281,,
Arkansas,Searcy,Rural,7881,,
Arkansas,Sebastian,Fort Smith,127827,191084,0.669
Arkansas,Sevier,Rural,17007,,
Arkansas,Sharp,Rural,17442,,
Arkansas,St. Francis,Rural,24994,,
Arkansas,Stone,Rural,12506,,
Arkansas,Union,Rural,38682,,
Arkansas,Van Buren,Rural,16545,,
Arkansas,Washington,Fayetteville-Springdale,239187,518328,0.462
Arkansas,White,Rural,78753,,
Arkansas,Woodruff,Rural,6320,,
Arkansas,Yell,Rural,21341,,
California,Alameda,Oakland,1671329,2824855,0.592
California,Alpine,Rural,1129,,
California,Amador,Rural,39752,,
California,Butte,Chico,219186,219186,1.000
California,Calaveras,Rural,45905,,
California,Colusa,Rural,21547,,
California,Contra Costa,Oakland,1153526,2824855,0.408
California,Del Norte,Rural,27812,,
California,El Dorado,Sacramento,192843,2143230,0.090
California,Fresno,Fresno,999101,1156428,0.864
California,Glenn,Rural,28393,,
California,Humboldt,Rural,135558,,
California,Imperial,Rural,181215,,
California,Inyo,Rural,18039,,
California,Kern,Bakersfield,900202,900202,1.000
California,Kings,Rural,152940,,
California,Lake,Rural,64386,,
California,Lassen,Rural,30573,,
California,Los Angeles,Los Angeles,10039107,10039107,1.000
California,Madera,Fresno,157327,1156428,0.136
California,Marin,San Francisco,258826,1906948,0.136
California,Mariposa,Rural,17203,,
California,Mendocino,Rural,86749,,
California,Merced,Merced,277680,277680,1.000
California,Modoc,Rural,8841,,
California,Mono,Rural,14444,,
California,Monterey,Salinas-Sea Side-Monterey,434061,434061,1.000
California,Napa,Vallejo-Fairfield-Napa,137744,585387,0.235
California,Nevada,Rural,99755,,
California,Orange,Orange County,3175692,3175692,1.000
California,Placer,Sacramento,398329,2143230,0.186
California,Plumas,Rural,18807,,
California,Riverside,Riverside-San Bernadino,2470546,4650631,0.531
California,Sacramento,Sacramento,1552058,2143230,0.724
California,San Benito,Rural,62808,,
California,San Bernardino,Riverside-San Bernadino,2180085,4650631,0.469
California,San Diego,San Diego,3338330,3338330,1.000
California,San Francisco,San Francisco,881549,1906948,0.462
California,San Joaquin,Stockton,762148,762148,1.000
California,San Luis Obispo,San Luis Obispo-Atascadero-Paso Robles,283111,283111,1.000
California,San Mateo,San Francisco,766573,1906948,0.402
California,Santa Barbara,Santa Barbara-San Maria-Lompac,446499,446499,1.000
California,Santa Clara,San Jose,1927852,1927852,1.000
California,Santa Cruz,Santa Cruz,273213,273213,1.000
California,Shasta,Redding,180080,180080,1.000
California,Sierra,Rural,3005,,
California,Siskiyou,Rural,43539,,
California,Solano,Vallejo-Fairfield-Napa,447643,585387,0.765
California,Sonoma,Santa Rosa-Petaluma,494336,494336,1.000
California,Stanislaus,Modesto,550660,550660,1.000
California,Sutter,Yuba City,96971,175639,0.552
California,Tehama,Rural,65084,,
California,Trinity,Rural,12285,,
California,Tulare,Visalia-Tulare-Porterville,466195,466195,1.000
California,Tuolumne,Rural,54478,,
California,Ventura,Ventura-Oxnard,846006,846006,1.000
California,Yolo,Yolo,220500,220500,1.000
California,Yuba,Yuba City,78668,175639,0.448
Colorado,Adams,Denver,517421,2835257,0.183
Colorado,Alamosa,Rural,16233,,
Colorado,Arapahoe,Denver,656590,2835257,0.232
Colorado,Archuleta,Rural,14029,,
Colorado,Baca,Rural,3581,,
Colorado,Bent,Rural,5577,,
Colorado,Boulder,Boulder-Longmont,326196,326196,1.000
Colorado,Broomfield,Rural,70465,,
Colorado,Chaffee,Rural,20356,,
Colorado,Cheyenne,Rural,1831,,
Colorado,Clear Creek,Rural,9700,,
Colorado,Conejos,Rural,8205,,
Colorado,Costilla,Rural,3887,,
Colorado,Crowley,Rural,6061,,
Colorado,Custer,Rural,5068,,
Colorado,Delta,Rural,31162,,
Colorado,Denver,Denver,727211,2835257,0.257
Colorado,Dolores,Rural,2055,,
Colorado,Douglas,Denver,351154,2835257,0.124
Colorado,Eagle,Rural,55127,,
Colorado,El Paso,Colorado Springs,720403,720403,1.000
Colorado,Elbert,Rural,26729,,
Colorado,Fremont,Rural,47839,,
Colorado,Garfield,Rural,60061,,
Colorado,Gilpin,Rural,6243,,
Colorado,Grand,Rural,15734,,
Colorado,Gunnison,Rural,17462,,
Colorado,Hinsdale,Rural,820,,
Colorado,Huerfano,Rural,6897,,
Colorado,Jackson,Rural,1392,,
Colorado,Jefferson,Denver,582881,2835257,0.206
Colorado,Kiowa,Rural,1406,,
Colorado,Kit Carson,Rural,7097,,
Colorado,La Plata,Rural,56221,,
Colorado,Lake,Rural,8127,,
Colorado,Larimer,Fort Collin-Loveland,356899,356899,1.000
Colorado,Las Animas,Rural,14506,,
Colorado,Lincoln,Rural,5701,,
Colorado,Logan,Rural,22409,,
Colorado,Mesa,Grand Junction,154210,154210,1.000
Colorado,Mineral,Rural,769,,
Colorado,Moffat,Rural,13283,,
Colorado,Montezuma,Rural,26183,,
Colorado,Montrose,Rural,42758,,
Colorado,Morgan,Rural,29068,,
Colorado,Otero,Rural,18278,,
Colorado,Ouray,Rural,4952,,
Colorado,Park,Rural,18845,,
Colorado,Phillips,Rural,4265,,
Colorado,Pitkin,Rural,17767,,
Colorado,Prowers,Rural,12172,,
Colorado,Pueblo,Pueblo,168424,168424,1.000
Colorado,Rio Blanco,Rural,6324,,
Colorado,Rio Grande,Rural,11267,,
Colorado,Routt,Rural,25638,,
Colorado,Saguache,Rural,6824,,
Colorado,San Juan,Rural,728,,
Colorado,San Miguel,Rural,8179,,
Colorado,Sedgwick,Rural,2248,,
Colorado,Summit,Rural,31011,,
Colorado,Teller,Rural,25388,,
Colorado,Washington,Rural,4908,,
Colorado,Weld,Greeley,324492,324492,1.000
Colorado,Yuma,Rural,10019,,
Connecticut,Fairfield,Bridgeport-Danbury-Stamford,943332,943332,1.000
Connecticut,Hartford,Hartford,891720,1385210,0.644
Connecticut,Litchfield,Hartford,180333,1385210,0.130
Connecticut,Middlesex,Hartford,162436,1385210,0.117
Connecticut,New Haven,New Haven-Meriden,854757,854757,1.000
Connecticut,New London,New London-Norwich,265206,265206,1.000
Connecticut,Tolland,Hartford,150721,1385210,0.109
Connecticut,Windham,Worcester,116782,1413776,0.083
Delaware,Kent,Dover,180786,180786,1.000
Delaware,New Castle,Wilmington,558753,661608,0.845
Delaware,Sussex,Georgetown,234225,234225,1.000
Florida,Alachua,Gainesville,269043,269043,1.000
Florida,Baker,Rural,29210,,
Florida,Bay,Panama City,174705,174705,1.000
Florida,Bradford,Rural,28201,,
Florida,Brevard,Melbourn-Titusville,601942,601942,1.000
Florida,Broward,Fort Lauderdale-Hollywood-Pompano Beach,1952778,1952778,1.000
Florida,Calhoun,Rural,14105,,
Florida,Charlotte,Punta Gorda,188910,188910,1.000
Florida,Citrus,Rural,149657,,
Florida,Clay,Jacksonville,219252,1530304,0.143
Florida,Collier,Naples,384902,384902,1.000
Florida,Columbia,Rural,71686,,
Florida,DeSoto,Rural,38001,,
Florida,Dixie,Rural,16826,,
Florida,Duval,Jacksonville,957755,1530304,0.626
Florida,Escambia,Pensacola,318316,502629,0.633
Florida,Flagler,Daytona Beach,115081,668365,0.172
Florida,Franklin,Rural,12125,,
Florida,Gadsden,Rural,45660,,
Florida,Gilchrist,Rural,18582,,
Florida,Glades,Rural,13811,,
Florida,Gulf,Rural,13639,,
Florida,Hamilton,Rural,14428,,
Florida,Hardee,Rural,26937,,
Florida,Hendry,Rural,42022,,
Florida,Hernando,Tampa-St. Petersburg-Clearwater,193920,3194831,0.061
Florida,Highlands,Rural,106221,,
Florida,Hillsborough,Tampa-St. Petersburg-Clearwater,1471968,3194831,0.461
Florida,Holmes,Rural,19617,,
Florida,Indian River,Rural,159923,,
Florida,Jackson,Rural,46414,,
Florida,Jefferson,Rural,14246,,
Florida,Lafayette,Rural,8422,,
Florida,Lake,Orlando,367118,2608147,0.141
Florida,Lee,Fort Myers,770577,770577,1.000
Florida,Leon,Tallahassee,293582,293582,1.000
Florida,Levy,Rural,41503,,
Florida,Liberty,Rural,8354,,
Florida,Madison,Rural,18493,,
Florida,Manatee,Sarasota,403253,836995,0.482
Florida,Marion,Ocala,365579,365579,1.000
Florida,Martin,Fort Piece,161000,489297,0.329
Florida,Miami-Dade,Miami,2716940,2716940,1.000
Florida,Monroe,Rural,74228,,
Florida,Nassau,Jacksonville,88625,1530304,0.058
Florida,Okaloosa,Fort Walton Beach,210738,210738,1.000
Florida,Okeechobee,Rural,42168,,
Florida,Orange,Orlando,1393452,2608147,0.534
Florida,Osceola,Orlando,375751,2608147,0.144
Florida,Palm Beach,West Palm Beach-Boca Raton,1496770,1496770,1.000
Florida,Pasco,Tampa-St. Petersburg-Clearwater,553947,3194831,0.173
Florida,Pinellas,Tampa-St. Petersburg-Clearwater,974996,3194831,0.305
Florida,Polk,Lakeland-Winter Haven,724777,724777,1.000
Florida,Putnam,Rural,74521,,
Florida,Santa Rosa,Pensacola,184313,502629,0.367
Florida,Sarasota,Sarasota,433742,836995,0.518
Florida,Seminole,Orlando,471826,2608147,0.181
Florida,St. Johns,Jacksonville,264672,1530304,0.173
Florida,St. Lucie,Fort Piece,328297,489297,0.671
Florida,Sumter,Rural,132420,,
Florida,Suwannee,Rural,44417,,
Florida,Taylor,Rural,21569,,
Florida,Union,Rural,15237,,
Florida,Volusia,Daytona Beach,553284,668365,0.828
Florida,Wakulla,Rural,33739,,
Florida,Walton,Rural,74071,,
Florida,Washington,Rural,25473,,
Georgia,Appling,Rural,18386,,
Georgia,Atkinson,Rural,8165,,
Georgia,Bacon,Rural,11164,,
Georgia,Baker,Rural,3038,,
Georgia,Baldwin,Rural,44890,,
Georgia,Banks,Rural,19234,,
Georgia,Barrow,Rural,83240,,
Georgia,Bartow,Rural,107738,,
Georgia,Ben Hill,Rural,16700,,
Georgia,Berrien,Rural,19397,,
Georgia,Bibb,Macon,153159,311022,0.492
Georgia,Bleckley,Rural,12873,,
Georgia,Brantley,Rural,19109,,
Georgia,Brooks,Rural,15457,,
Georgia,Bryan,Rural,39627,,
Georgia,Bulloch,Rural,79608,,
Georgia,Burke,Rural,22383,,
Georgia,Butts,Rural,24936,,
Georgia,Calhoun,Rural,6189,,
Georgia,Camden,Rural,54666,,
Georgia,Candler,Rural,10803,,
Georgia,Carroll,Rural,119992,,
Georgia,Catoosa,Chattanooga,67580,505145,0.134
Georgia,Charlton,Rural,13392,,
Georgia,Chatham,Savannah,289430,353726,0.818
Georgia,Chattahoochee,Rural,10907,,
Georgia,Chattooga,Rural,24789,,
Georgia,Cherokee,Atlanta,258773,4718134,0.055
Georgia,Clarke,Athens,128331,128331,1.000
Georgia,Clay,Rural,2834,,
Georgia,Clayton,Atlanta,292256,4718134,0.062
Georgia,Clinch,Rural,6618,,
Georgia,Cobb,Atlanta,760141,4718134,0.161
Georgia,Coffee,Rural,43273,,
Georgia,Colquitt,Rural,45600,,
Georgia,Columbia,Augusta-Aiken,156714,530104,0.296
Georgia,Cook,Rural,17270,,
Georgia,Coweta,Rural,148509,,
Georgia,Crawford,Rural,12404,,
Georgia,Crisp,Rural,22372,,
Georgia,Dade,Rural,16116,,
Georgia,Dawson,Rural,26108,,
Georgia,Decatur,Rural,26404,,
Georgia,DeKalb,Atlanta,759297,4718134,0.161
Georgia,Dodge,Rural,20605,,
Georgia,Dooly,Rural,13390,,
Georgia,Dougherty,Albany,87956,87956,1.000
Georgia,Douglas,Rural,146343,,
Georgia,Early,Rural,10190,,
Georgia,Echols,Rural,4006,,
Georgia,Effingham,Savannah,64296,353726,0.182
Georgia,Elbert,Rural,19194,,
Georgia,Emanuel,Rural,22646,,
Georgia,Evans,Rural,10654,,
Georgia,Fannin,Rural,26188,,
